mode,iteration,http_round_trip_ms,pause_ms,memory_bin_bytes,poll_until_ready_ms
live-sync,0,13669.03,40,1610612736,
live-async,0,58.27,48,1610612736,13284.92
diff,0,13510.88,434,1610612736,
full,0,13182.87,13163,1610612736,
live-sync,1,13239.02,64,1610612736,
live-async,1,125.31,90,1610612736,13723.48
diff,1,14428.33,238,1610612736,
full,1,13837.76,13828,1610612736,
live-sync,2,13437.02,58,1610612736,
live-async,2,85.39,57,1610612736,13668.73
diff,2,13288.21,227,1610612736,
full,2,13539.74,13524,1610612736,
live-sync,3,14129.82,54,1610612736,
live-async,3,77.93,59,1610612736,14048.62
diff,3,13154.87,207,1610612736,
full,3,14384.82,14314,1610612736,
live-sync,4,13791.01,58,1610612736,
live-async,4,59.17,51,1610612736,13428.47
diff,4,13411.8,164,1610612736,
full,4,13071.25,13068,1610612736,
live-sync,5,14237.89,61,1610612736,
live-async,5,48.43,41,1610612736,14047.83
diff,5,13359.63,271,1610612736,
full,5,13578.29,13576,1610612736,
live-sync,6,14196.55,64,1610612736,
live-async,6,95.57,68,1610612736,14225.81
diff,6,13542.8,196,1610612736,
full,6,13323.87,13298,1610612736,
live-sync,7,16440.8,43,1610612736,
live-async,7,57.03,38,1610612736,13986.13
diff,7,14454.35,190,1610612736,
full,7,13523.34,13510,1610612736,
live-sync,8,13405.48,39,1610612736,
live-async,8,266.74,258,1610612736,13481.96
diff,8,13521.46,179,1610612736,
full,8,13641.49,13638,1610612736,
live-sync,9,13463.18,32,1610612736,
live-async,9,57.64,50,1610612736,14398.6
diff,9,13189.66,170,1610612736,
full,9,13853.29,13850,1610612736,
