backend,memory_mib,mode,trial,pause_ms,diff_ms,diff_physical_bytes
tmpfs,256,full,1,239,,
tmpfs,256,full,2,120,,
tmpfs,256,full,3,158,,
tmpfs,256,diff,1,206,204,905216
tmpfs,256,diff,2,197,196,905216
tmpfs,256,diff,3,196,195,905216
tmpfs,512,full,1,225,,
tmpfs,512,full,2,150,,
tmpfs,512,full,3,158,,
tmpfs,512,diff,1,150,149,897024
tmpfs,512,diff,2,154,153,909312
tmpfs,512,diff,3,144,143,909312
tmpfs,1024,full,1,305,,
tmpfs,1024,full,2,332,,
tmpfs,1024,full,3,334,,
tmpfs,1024,diff,1,186,185,909312
tmpfs,1024,diff,2,211,210,905216
tmpfs,1024,diff,3,186,185,913408
tmpfs,2048,full,1,628,,
tmpfs,2048,full,2,642,,
tmpfs,2048,full,3,619,,
tmpfs,2048,diff,1,164,164,933888
tmpfs,2048,diff,2,166,165,929792
tmpfs,2048,diff,3,268,268,917504
tmpfs,4096,full,1,1154,,
tmpfs,4096,full,2,1218,,
tmpfs,4096,full,3,1198,,
tmpfs,4096,diff,1,176,175,962560
tmpfs,4096,diff,2,229,228,962560
tmpfs,4096,diff,3,166,165,962560
