backend,memory_mib,trial,full_pause_ms,diff_ms,diff_physical_bytes,diff_logical_bytes,diff_ratio_pct
tmpfs,256,1,258,173,905216,268435456,0.34
tmpfs,256,2,352,242,905216,268435456,0.34
tmpfs,256,3,341,260,905216,268435456,0.34
tmpfs,512,1,390,244,897024,536870912,0.17
tmpfs,512,2,358,202,905216,536870912,0.17
tmpfs,512,3,339,182,897024,536870912,0.17
tmpfs,1024,1,481,175,905216,1073741824,0.08
tmpfs,1024,2,570,274,905216,1073741824,0.08
tmpfs,1024,3,565,259,905216,1073741824,0.08
tmpfs,2048,1,763,185,921600,2147483648,0.04
tmpfs,2048,2,1681,1089,933888,2147483648,0.04
tmpfs,2048,3,847,261,933888,2147483648,0.04
tmpfs,4096,1,1411,260,966656,4294967296,0.02
tmpfs,4096,2,1324,241,966656,4294967296,0.02
tmpfs,4096,3,1447,304,962560,4294967296,0.02
